activityId,intermediateOutcomeId,activityText,outputPhrase,reviewStatus
ACT_7982B2F2EE,PW_001_IO_01,Develop linkages/networks for smallholders to access markets,developed for smallholders to access markets,REVIEW
ACT_87742F4135,PW_001_IO_01,Support group purchase of inputs and marketing of end products to leverage bargaining power & build economies of scale,supported through group purchase of inputs and marketing of end products to leverage bargaining power & build economies of scale,REVIEW
ACT_67BCA99DBC,PW_001_IO_01,Adopt assessment training and coaching methodology as a best practice (Agribusiness Leadership Program),adopting assessment training and coaching methodology as a best practice (Agribusiness Leadership Program),USER_REVIEWED
ACT_5B0E92A0CB,PW_001_IO_01,Facilitate contract farming and out-grower schemes,supported through contract farming and out-grower schemes,REVIEW
ACT_1D03E7919A,PW_001_IO_01,Support digital/ICT platforms for market price transparency,supported through digital/ICT platforms for market price transparency,REVIEW
ACT_70EB4E2999,PW_001_IO_02,"Build capacities of smallholders on market-driven agricultural enterprise through training, exposure visits, market surveys and analysis","gained increased capacities on market-driven agricultural enterprise through training, exposure visits, market surveys and analysis",REVIEW
ACT_F037480603,PW_001_IO_02,Collaboration with organizations providing market information through ICT,supported through collaboration with organizations providing market information through ICT,REVIEW
ACT_7BE310A3C3,PW_001_IO_02,"Support certification and quality standards (organic, Fairtrade, GAP)","supported through certification and quality standards (organic, Fairtrade, GAP)",REVIEW
ACT_73626D8923,PW_001_IO_02,"Facilitate infrastructure development (collection centers, cold storage)","supported through infrastructure development (collection centers, cold storage)",REVIEW
ACT_DA0985B91B,PW_001_IO_03,"Provide technical support to SHGs/cooperatives/CLAs on management, governance, business strategy and development, financial management, and product development","provided technical support to SHGs/cooperatives/CLAs on management, governance, business strategy and development, financial management, and product development",REVIEW
ACT_9F57E8D41C,PW_001_IO_03,Promote women/youth leadership roles in producer organizations,reached through promotion of women/youth leadership roles in producer organizations,REVIEW
ACT_E8585D5E89,PW_001_IO_04,Provide tailored business development services (BDS) for market linkages,provided  tailored business development services (BDS) for market linkages,REVIEW
ACT_28ABFAFFCC,PW_001_IO_04,Facilitate participation in trade fairs/exhibitions,supported through participation in trade fairs/exhibitions,REVIEW
ACT_24F60C63FE,PW_001_IO_04,"Support branding, packaging, and marketing innovations","supported through branding, packaging, and marketing innovations",REVIEW
ACT_EB7E7AC96A,PW_002_IO_01,Training on business registration,trained in business registration,REVIEW
ACT_1A09C15F2F,PW_002_IO_01,Establish business clinics/one-stop-shops for registration and licensing,established for business clinics/one-stop-shops for registration and licensing,REVIEW
ACT_E11DF971BA,PW_002_IO_02,Map the business operating environment,supported through map the business operating environment,REVIEW
ACT_8B3371563F,PW_002_IO_02,Facilitate partnerships between local BDS providers and cooperatives/MSMEs,supported through partnerships between local BDS providers and cooperatives/MSMEs,REVIEW
ACT_13904102DB,PW_002_IO_02,Provide capacity building for BDS providers to ensure quality and reach,provided through capacity building for BDS providers to ensure quality and reach,REVIEW
ACT_2EAEE6CB0D,PW_002_IO_03,Creation of structured public-private sector dialogue platforms,supported through creation of structured public-private sector dialogue platforms,REVIEW
ACT_2CBF44A8FD,PW_002_IO_03,Support participatory local economic planning processes,supported through participatory local economic planning processes,REVIEW
ACT_033022CD3A,PW_002_IO_03,"Facilitate investment in local infrastructure (market centers, energy, ICT)","supported through investment in local infrastructure (market centers, energy, ICT)",REVIEW
ACT_6CF8C8607F,PW_002_IO_04,Work on the revision of regulatory standards,supported through work on the revision of regulatory standards,REVIEW
ACT_78921BF8A3,PW_002_IO_04,Facilitate Memorandums of Understanding (MoUs) between local actors,supported through memorandums of Understanding (MoUs) between local actors,REVIEW
